trade_id,order_id,instrument_id,side,qty,price,fees,ts
trd_294ccce0,ord_d7e31a92,STOCK:AAPL,BUY,5,244.9311,0.025,2025-01-06T10:02:00+00:00
trd_743a8cde,ord_916a5993,STOCK:AAPL,SELL,5,244.995,0.025,2025-01-06T10:14:00+00:00
trd_8832e4b8,ord_d5a2f7d4,STOCK:AAPL,BUY,5,245.0174,0.025,2025-01-06T11:01:00+00:00
trd_12dad240,ord_e83cd0c3,STOCK:AAPL,BUY,5,245.0035,0.025,2025-01-06T11:07:00+00:00
trd_a2fbc6b3,ord_7e86b30a,STOCK:AAPL,SELL,5,245.0789,0.025,2025-01-06T11:14:00+00:00
trd_873f5501,ord_d8eaeef5,STOCK:AAPL,BUY,5,245.0465,0.025,2025-01-06T11:23:00+00:00
trd_87317479,ord_6a6a746f,STOCK:AAPL,SELL,5,245.2197,0.025,2025-01-06T11:30:00+00:00
trd_0314a5a7,ord_2f15adf2,STOCK:AAPL,SELL,5,245.2392,0.025,2025-01-06T11:35:00+00:00
trd_0d345245,ord_96ec5049,STOCK:AAPL,BUY,5,245.1141,0.025,2025-01-06T11:41:00+00:00
trd_1d271769,ord_f252ccd0,STOCK:AAPL,BUY,5,245.0104,0.025,2025-01-06T11:51:00+00:00
trd_14393903,ord_3c7adaec,STOCK:AAPL,SELL,5,244.9832,0.025,2025-01-06T12:00:00+00:00
trd_89ddc262,ord_ec397a2a,STOCK:AAPL,BUY,5,244.8513,0.025,2025-01-06T12:05:00+00:00
trd_ed72d0c4,ord_a4355775,STOCK:AAPL,BUY,5,244.6047,0.025,2025-01-06T12:11:00+00:00
trd_0eab3c66,ord_e7dcbf51,STOCK:AAPL,SELL,5,244.5291,0.025,2025-01-06T12:17:00+00:00
trd_e71bdded,ord_5c1e2888,STOCK:AAPL,SELL,5,244.6927,0.025,2025-01-06T12:22:00+00:00
trd_8d64d23f,ord_9a1d8419,STOCK:AAPL,BUY,5,244.4571,0.025,2025-01-06T12:27:00+00:00
trd_8b72bb5f,ord_4ee43bd5,STOCK:AAPL,SELL,5,244.4414,0.025,2025-01-06T12:36:00+00:00
trd_a7be4a3d,ord_d419d572,STOCK:AAPL,BUY,5,244.4925,0.025,2025-01-06T12:43:00+00:00
trd_35c0de43,ord_2ff281ab,STOCK:AAPL,BUY,5,244.5106,0.025,2025-01-06T12:49:00+00:00
trd_ee2f4853,ord_0c25f1c8,STOCK:AAPL,SELL,5,244.4432,0.025,2025-01-06T12:55:00+00:00
trd_fa55c5b8,ord_d4f54042,STOCK:AAPL,BUY,5,244.2919,0.025,2025-01-06T13:00:00+00:00
trd_e49abfb0,ord_b2226d37,STOCK:AAPL,SELL,5,244.3343,0.025,2025-01-06T13:05:00+00:00
trd_489ccb1e,ord_d85d7885,STOCK:AAPL,BUY,5,244.303,0.025,2025-01-06T13:11:00+00:00
trd_a4fff985,ord_7d1ca8ae,STOCK:AAPL,BUY,5,244.3534,0.025,2025-01-06T13:16:00+00:00
trd_4fde5cca,ord_05a85f23,STOCK:AAPL,BUY,5,244.2982,0.025,2025-01-06T13:21:00+00:00
trd_da994fd9,ord_7fb16c33,STOCK:AAPL,BUY,5,244.222,0.025,2025-01-06T13:26:00+00:00
trd_f4bd0a2b,ord_b55cdf7e,STOCK:AAPL,SELL,5,244.219,0.025,2025-01-06T13:31:00+00:00
trd_ce62f1f4,ord_88de1457,STOCK:AAPL,SELL,5,244.3403,0.025,2025-01-06T13:36:00+00:00
trd_84bbe07e,ord_1648ab0f,STOCK:AAPL,BUY,5,244.27,0.025,2025-01-06T13:41:00+00:00
trd_ee6a0ce5,ord_9b8d849b,STOCK:AAPL,SELL,5,244.3773,0.025,2025-01-06T13:46:00+00:00
trd_07e77702,ord_766f5f6e,STOCK:AAPL,BUY,5,244.3555,0.025,2025-01-06T13:51:00+00:00
trd_198a7774,ord_281aa804,STOCK:AAPL,SELL,5,245.0035,0.025,2025-01-06T13:56:00+00:00
trd_da4afc7d,ord_83d783fd,STOCK:AAPL,BUY,5,245.0192,0.025,2025-01-06T14:01:00+00:00
trd_d397ab3b,ord_3f544011,STOCK:AAPL,BUY,5,244.8196,0.025,2025-01-06T14:06:00+00:00
trd_59594dbf,ord_9b11e369,STOCK:AAPL,BUY,5,244.8636,0.025,2025-01-06T14:11:00+00:00
trd_8441753c,ord_3180a3c6,STOCK:AAPL,BUY,5,243.8332,0.025,2025-01-06T14:16:00+00:00
trd_b99dcb7f,ord_c01f0189,STOCK:AAPL,SELL,5,243.9942,0.025,2025-01-06T14:21:00+00:00
trd_c398de66,ord_4f9d00be,STOCK:AAPL,BUY,5,243.5282,0.025,2025-01-06T14:26:00+00:00
trd_152b36ce,ord_4db28eee,STOCK:AAPL,SELL,5,245.4858,0.025,2025-01-06T14:31:00+00:00
trd_e7b5954b,ord_cfbd84a0,STOCK:AAPL,SELL,5,245.3831,0.025,2025-01-06T14:36:00+00:00
trd_2e780b18,ord_855eb8a8,STOCK:AAPL,BUY,5,244.8876,0.025,2025-01-06T14:41:00+00:00
trd_f740b1d7,ord_ddf36225,STOCK:AAPL,BUY,5,244.9191,0.025,2025-01-06T14:46:00+00:00
trd_4257ab31,ord_8c8d4fe8,STOCK:AAPL,BUY,5,244.3414,0.025,2025-01-06T14:51:00+00:00
trd_f8c42037,ord_684ce1ef,STOCK:AAPL,SELL,5,244.6457,0.025,2025-01-06T14:56:00+00:00
trd_af46e907,ord_fd335728,STOCK:AAPL,BUY,5,244.6691,0.025,2025-01-06T15:01:00+00:00
trd_715eb31b,ord_f3135a3f,STOCK:AAPL,SELL,5,244.6784,0.025,2025-01-06T15:06:00+00:00
trd_a6dbee10,ord_fea99525,STOCK:AAPL,SELL,5,245.0474,0.025,2025-01-06T15:11:00+00:00
trd_5692a2a3,ord_e7c650cb,STOCK:AAPL,SELL,5,245.3664,0.025,2025-01-06T15:16:00+00:00
trd_d1185025,ord_685c20b3,STOCK:AAPL,BUY,5,245.5443,0.025,2025-01-06T15:21:00+00:00
trd_814962d6,ord_23347fed,STOCK:AAPL,BUY,5,245.5136,0.025,2025-01-06T15:26:00+00:00
trd_0efa4d90,ord_0adcc958,STOCK:AAPL,BUY,5,245.3899,0.025,2025-01-06T15:31:00+00:00
trd_f66df83f,ord_a2ded8ac,STOCK:AAPL,SELL,5,245.7697,0.025,2025-01-06T15:36:00+00:00
trd_056f69ca,ord_9409d0f5,STOCK:AAPL,BUY,5,246.0226,0.025,2025-01-06T15:41:00+00:00
trd_b178afcd,ord_15ae2621,STOCK:AAPL,SELL,5,246.3174,0.025,2025-01-06T15:46:00+00:00
trd_16ced2b2,ord_57c08353,STOCK:AAPL,BUY,5,246.0085,0.025,2025-01-06T15:51:00+00:00
trd_fc9734c4,ord_c4fe1645,STOCK:AAPL,SELL,5,246.1873,0.025,2025-01-06T15:56:00+00:00
